 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município
Período:Jun-Dez/2024
"Município";"Internações"
"150445 MEDICILANDIA";935
"150450 MELGACO";463
"150460 MOCAJUBA";1059
"150470 MOJU";1413
"150480 MONTE ALEGRE";2013
"150490 MUANA";1273
"150495 NOVA ESPERANCA DO PIRIA";60
"150497 NOVA IPIXUNA";75
"150503 NOVO PROGRESSO";1423
"150506 NOVO REPARTIMENTO";839
"150510 OBIDOS";1407
"150520 OEIRAS DO PARA";688
"150530 ORIXIMINA";2594
"150540 OUREM";532
"150543 OURILANDIA DO NORTE";4121
"150548 PACAJA";1575
"150549 PALESTINA DO PARA";205
"150550 PARAGOMINAS";4547
"150553 PARAUAPEBAS";6606
"150555 PAU D'ARCO";334
"150563 PICARRA";432
"150565 PLACAS";1007
"150570 PONTA DE PEDRAS";578
"150580 PORTEL";1621
"150590 PORTO DE MOZ";1195
"150600 PRAINHA";808
"150613 REDENCAO";6346
"150616 RIO MARIA";2116
"150618 RONDON DO PARA";1335
"150619 RUROPOLIS";1305
"150620 SALINOPOLIS";1658
"150630 SALVATERRA";348
"150640 SANTA CRUZ DO ARARI";291
"150650 SANTA IZABEL DO PARA";2087
"150658 SANTA MARIA DAS BARREIRAS";566
"150660 SANTA MARIA DO PARA";585
"150670 SANTANA DO ARAGUAIA";1856
"150680 SANTAREM";11254
"150700 SANTO ANTONIO DO TAUA";2964
"150715 SAO DOMINGOS DO ARAGUAIA";242
"150720 SAO DOMINGOS DO CAPIM";512
"150730 SAO FELIX DO XINGU";1697
"150745 SAO GERALDO DO ARAGUAIA";928
"150747 SAO JOAO DE PIRABAS";473
"150750 SAO JOAO DO ARAGUAIA";51
"150760 SAO MIGUEL DO GUAMA";1455
"150770 SAO SEBASTIAO DA BOA VISTA";907
"150775 SAPUCAIA";216
"150780 SENADOR JOSE PORFIRIO";337
"150790 SOURE";816
"150795 TAILANDIA";2589
"150797 TERRA SANTA";661
"150800 TOME-ACU";1867
"150803 TRACUATEUA";607
"150805 TRAIRAO";769
"150808 TUCUMA";1447
"150810 TUCURUI";4935
"150812 ULIANOPOLIS";1338
"150815 URUARA";1699
"150820 VIGIA";853
"150830 VISEU";1278
"150835 VITORIA DO XINGU";1226
"150840 XINGUARA";1744
"160005 SERRA DO NAVIO";22
"160010 AMAPA";105
"160015 PEDRA BRANCA DO AMAPARI";125
"160020 CALCOENE";142
"160023 FERREIRA GOMES";28
"160027 LARANJAL DO JARI";2537
"160030 MACAPA";25548
"160040 MAZAGAO";68
"160050 OIAPOQUE";1060
"160053 PORTO GRANDE";85
"160060 SANTANA";4298
"160070 TARTARUGALZINHO";127
"170070 ALVORADA";230
"170100 ANANAS";70
"170190 ARAGUACEMA";348
"170200 ARAGUACU";227
"170210 ARAGUAINA";15377
"170220 ARAGUATINS";274
"170230 ARAPOEMA";747
"170240 ARRAIAS";1134
"170255 AUGUSTINOPOLIS";2509
"170370 BREJINHO DE NAZARE";7
"170550 COLINAS DO TOCANTINS";994
"170610 CRISTALANDIA";4
"170700 DIANOPOLIS";886
"170710 DIVINOPOLIS DO TOCANTINS";28
"170730 DUERE";26
"170820 FORMOSO DO ARAGUAIA";406
"170900 GOIATINS";50
"170930 GUARAI";1978
"170950 GURUPI";5695
"171320 MIRACEMA DO TOCANTINS";2515
"171420 NATIVIDADE";45
"171610 PARAISO DO TOCANTINS";4463
"171620 PARANA";205
"171650 PEDRO AFONSO";709
"171660 PEIXE";199
"171700 PINDORAMA DO TOCANTINS";73
"171750 PIUM";324
"171790 PONTE ALTA DO TOCANTINS";23
"171820 PORTO NACIONAL";2709
"172065 SILVANOPOLIS";52
"172080 SITIO NOVO DO TOCANTINS";242
"172090 TAGUATINGA";332
"172100 PALMAS";17352
"172120 TOCANTINOPOLIS";608
"172210 XAMBIOA";676
"210005 ACAILANDIA";4947
"210010 AFONSO CUNHA";114
"210020 ALCANTARA";174
"210030 ALDEIAS ALTAS";249
"210043 ALTO ALEGRE DO MARANHAO";2135
"210047 ALTO ALEGRE DO PINDARE";1514
"210050 ALTO PARNAIBA";116
"210060 AMARANTE DO MARANHAO";1767
"210070 ANAJATUBA";42
"210080 ANAPURUS";256
"210083 APICUM-ACU";700
"210087 ARAGUANA";228
"210090 ARAIOSES";61
"210095 ARAME";245
"210110 AXIXA";323
"210120 BACABAL";6837
"210125 BACABEIRA";232
"210130 BACURI";677
"210140 BALSAS";4348
"210150 BARAO DE GRAJAU";191
"210160 BARRA DO CORDA";3707
"210170 BARREIRINHAS";2961
"210177 BELA VISTA DO MARANHAO";353
"210190 BEQUIMAO";188
"210193 BERNARDO DO MEARIM";249
"210200 BOM JARDIM";748
"210203 BOM JESUS DAS SELVAS";549
"210210 BREJO";630
"210220 BURITI";291
"210230 BURITI BRAVO";558
"210232 BURITICUPU";1846
"210240 CAJAPIO";298
"210250 CAJARI";188
"210260 CANDIDO MENDES";18
"210270 CANTANHEDE";543
"210280 CAROLINA";1193
"210290 CARUTAPERA";1498
"210300 CAXIAS";9989
"210310 CEDRAL";201
"210312 CENTRAL DO MARANHAO";195
"210320 CHAPADINHA";3385
"210325 CIDELANDIA";558
"210330 CODO";2892
"210340 COELHO NETO";1241
"210350 COLINAS";3905
"210355 CONCEICAO DO LAGO-ACU";529
"210360 COROATA";3090
"210370 CURURUPU";2965
"210380 DOM PEDRO";1003
"210390 DUQUE BACELAR";357
"210400 ESPERANTINOPOLIS";809
"210405 ESTREITO";1021
"210407 FEIRA NOVA DO MARANHAO";392
"210408 FERNANDO FALCAO";191
"210409 FORMOSA DA SERRA NEGRA";413
"210410 FORTALEZA DOS NOGUEIRAS";383
"210420 FORTUNA";40
"210440 GONCALVES DIAS";376
"210450 GOVERNADOR ARCHER";326
"210455 GOVERNADOR EDISON LOBAO";218
"210460 GOVERNADOR EUGENIO BARROS";739
"210462 GOVERNADOR LUIZ ROCHA";288
"210465 GOVERNADOR NEWTON BELLO";55
"210467 GOVERNADOR NUNES FREIRE";2755
"210480 GRAJAU";3458
"210490 GUIMARAES";450
"210500 HUMBERTO DE CAMPOS";452
"210515 IGARAPE DO MEIO";362
"210520 IGARAPE GRANDE";489
"210530 IMPERATRIZ";17912
"210535 ITAIPAVA DO GRAJAU";384
"210540 ITAPECURU MIRIM";1542
"210542 ITINGA DO MARANHAO";385
"210545 JATOBA";62
"210547 JENIPAPO DOS VIEIRAS";238
"210550 JOAO LISBOA";729
"210560 JOSELANDIA";454
"210570 LAGO DA PEDRA";4458
"210580 LAGO DO JUNCO";619
"210594 LAGO DOS RODRIGUES";226
"210596 LAGOA GRANDE DO MARANHAO";180
"210600 LIMA CAMPOS";522
"210610 LORETO";298
"210630 MAGALHAES DE ALMEIDA";486
"210637 MARANHAOZINHO";480
"210640 MATA ROMA";167
"210650 MATINHA";375
"210660 MATOES";762
"210667 MILAGRES DO MARANHAO";142
"210670 MIRADOR";216
"210675 MIRANDA DO NORTE";612
"210680 MIRINZAL";417
"210690 MONCAO";1267
"210700 MONTES ALTOS";81
"210710 MORROS";747
"210720 NINA RODRIGUES";344
"210725 NOVA COLINAS";224
"210735 NOVA OLINDA DO MARANHAO";811
"210740 OLHO D'AGUA DAS CUNHAS";631
"210745 OLINDA NOVA DO MARANHAO";403
"210750 PACO DO LUMIAR";1394
"210760 PALMEIRANDIA";365
"210770 PARAIBANO";495
"210780 PARNARAMA";721
"210790 PASSAGEM FRANCA";3061
"210800 PASTOS BONS";203
"210805 PAULINO NEVES";690
"210810 PAULO RAMOS";1091
"210820 PEDREIRAS";2932
"210825 PEDRO DO ROSARIO";319
"210830 PENALVA";594
"210840 PERI MIRIM";96
"210845 PERITORO";2009
"210850 PINDARE-MIRIM";340
"210860 PINHEIRO";5081
"210870 PIO XII";942
"210880 PIRAPEMAS";216
"210890 POCAO DE PEDRAS";525
"210900 PORTO FRANCO";1871
"210910 PRESIDENTE DUTRA";5304
"210920 PRESIDENTE JUSCELINO";116
"210923 PRESIDENTE MEDICI";896
"210927 PRESIDENTE SARNEY";41
"210930 PRESIDENTE VARGAS";195
"210940 PRIMEIRA CRUZ";488
"210945 RAPOSA";150
"210950 RIACHAO";700
"210960 ROSARIO";1717
"210970 SAMBAIBA";33
"210980 SANTA HELENA";865
"210990 SANTA INES";7769
"211000 SANTA LUZIA";1668
"211003 SANTA LUZIA DO PARUA";2214
"211010 SANTA QUITERIA DO MARANHAO";549
"211020 SANTA RITA";992
"211023 SANTANA DO MARANHAO";212
"211027 SANTO AMARO DO MARANHAO";234
"211030 SANTO ANTONIO DOS LOPES";404
"211040 SAO BENEDITO DO RIO PRETO";278
"211050 SAO BENTO";938
"211060 SAO BERNARDO";1155
"211065 SAO DOMINGOS DO AZEITAO";350
"211070 SAO DOMINGOS DO MARANHAO";991
"211080 SAO FELIX DE BALSAS";117
"211085 SAO FRANCISCO DO BREJAO";215
"211090 SAO FRANCISCO DO MARANHAO";488
"211100 SAO JOAO BATISTA";792
"211102 SAO JOAO DO CARU";178
"211107 SAO JOAO DO SOTER";390
"211110 SAO JOAO DOS PATOS";896
"211120 SAO JOSE DE RIBAMAR";2410
"211125 SAO JOSE DOS BASILIOS";314
"211130 SAO LUIS";77845
"211140 SAO LUIS GONZAGA DO MARANHAO";936
"211150 SAO MATEUS DO MARANHAO";1965
"211153 SAO PEDRO DA AGUA BRANCA";381
"211157 SAO PEDRO DOS CRENTES";482
"211160 SAO RAIMUNDO DAS MANGABEIRAS";743
"211163 SAO RAIMUNDO DO DOCA BEZERRA";97
"211170 SAO VICENTE FERRER";693
"211172 SATUBINHA";401
"211174 SENADOR ALEXANDRE COSTA";350
"211178 SERRANO DO MARANHAO";326
"211180 SITIO NOVO";761
"211190 SUCUPIRA DO NORTE";214
"211195 SUCUPIRA DO RIACHAO";119
"211200 TASSO FRAGOSO";131
"211210 TIMBIRAS";2570
"211220 TIMON";5195
"211223 TRIZIDELA DO VALE";535
"211227 TUFILANDIA";73
"211230 TUNTUM";887
"211240 TURIACU";657
"211245 TURILANDIA";282
"211250 TUTOIA";902
"211260 URBANO SANTOS";1001
