 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município
Período:Jun-Dez/2024
"Município";"Internações"
"251230 PRINCESA ISABEL";476
"251250 QUEIMADAS";1784
"251340 SANTA LUZIA";247
"251370 SANTA RITA";7387
"251390 SAO BENTO";677
"251450 SAO JOSE DE PIRANHAS";214
"251530 SAPE";378
"251540 SAO VICENTE DO SERIDO";32
"251550 SERRA BRANCA";325
"251600 SOLANEA";756
"251610 SOLEDADE";26
"251620 SOUSA";4467
"251630 SUME";604
"251650 TAPEROA";975
"251660 TAVARES";462
"251690 UIRAUNA";991
"260010 AFOGADOS DA INGAZEIRA";6167
"260020 AFRANIO";483
"260030 AGRESTINA";863
"260050 AGUAS BELAS";254
"260060 ALAGOINHA";181
"260070 ALIANCA";144
"260080 ALTINHO";76
"260090 AMARAJI";23
"260100 ANGELIM";83
"260110 ARARIPINA";4942
"260120 ARCOVERDE";8879
"260130 BARRA DE GUABIRABA";77
"260140 BARREIROS";1476
"260150 BELEM DE MARIA";5
"260160 BELEM DE SAO FRANCISCO";94
"260170 BELO JARDIM";679
"260180 BETANIA";69
"260190 BEZERROS";2731
"260200 BODOCO";233
"260210 BOM CONSELHO";594
"260220 BOM JARDIM";134
"260230 BONITO";270
"260240 BREJAO";85
"260250 BREJINHO";107
"260260 BREJO DA MADRE DE DEUS";211
"260280 BUIQUE";683
"260290 CABO DE SANTO AGOSTINHO";6947
"260300 CABROBO";536
"260310 CACHOEIRINHA";150
"260320 CAETES";205
"260330 CALCADO";26
"260340 CALUMBI";19
"260345 CAMARAGIBE";1031
"260350 CAMOCIM DE SAO FELIX";55
"260360 CAMUTANGA";17
"260370 CANHOTINHO";296
"260380 CAPOEIRAS";147
"260390 CARNAIBA";335
"260392 CARNAUBEIRA DA PENHA";49
"260400 CARPINA";769
"260410 CARUARU";27754
"260415 CASINHAS";52
"260420 CATENDE";119
"260430 CEDRO";50
"260450 CHA GRANDE";245
"260460 CONDADO";54
"260470 CORRENTES";123
"260480 CORTES";307
"260490 CUMARU";108
"260500 CUPIRA";188
"260510 CUSTODIA";624
"260515 DORMENTES";265
"260520 ESCADA";240
"260530 EXU";217
"260540 FEIRA NOVA";211
"260545 FERNANDO DE NORONHA";68
"260560 FLORES";101
"260570 FLORESTA";427
"260580 FREI MIGUELINHO";76
"260590 GAMELEIRA";47
"260600 GARANHUNS";7288
"260610 GLORIA DO GOITA";13
"260620 GOIANA";1913
"260630 GRANITO";74
"260640 GRAVATA";532
"260650 IATI";468
"260660 IBIMIRIM";159
"260670 IBIRAJUBA";46
"260680 IGARASSU";695
"260690 IGUARACY";97
"260700 INAJA";197
"260710 INGAZEIRA";39
"260720 IPOJUCA";682
"260730 IPUBI";159
"260740 ITACURUBA";23
"260750 ITAIBA";268
"260765 ITAMBE";114
"260770 ITAPETIM";402
"260780 ITAQUITINGA";20
"260790 JABOATAO DOS GUARARAPES";14614
"260795 JAQUEIRA";116
"260800 JATAUBA";191
"260805 JATOBA";153
"260810 JOAO ALFREDO";120
"260825 JUCATI";73
"260830 JUPI";152
"260840 JUREMA";30
"260845 LAGOA DO CARRO";11
"260850 LAGOA DE ITAENGA";99
"260860 LAGOA DO OURO";294
"260870 LAGOA DOS GATOS";23
"260875 LAGOA GRANDE";331
"260880 LAJEDO";346
"260890 LIMOEIRO";2419
"260900 MACAPARANA";167
"260910 MACHADOS";12
"260915 MANARI";82
"260920 MARAIAL";14
"260930 MIRANDIBA";43
"260940 MORENO";4309
"260950 NAZARE DA MATA";2234
"260960 OLINDA";5690
"260970 OROBO";76
"260980 OROCO";71
"260990 OURICURI";5385
"261000 PALMARES";9092
"261010 PALMEIRINA";87
"261020 PANELAS";162
"261030 PARANATAMA";310
"261040 PARNAMIRIM";143
"261050 PASSIRA";79
"261060 PAUDALHO";1892
"261070 PAULISTA";6836
"261080 PEDRA";117
"261090 PESQUEIRA";1410
"261100 PETROLANDIA";1008
"261110 PETROLINA";19492
"261120 POCAO";121
"261130 POMBOS";13
"261150 QUIPAPA";96
"261160 RECIFE";198848
"261170 RIACHO DAS ALMAS";319
"261180 RIBEIRAO";15
"261190 RIO FORMOSO";42
"261200 SAIRE";38
"261220 SALGUEIRO";5535
"261230 SALOA";246
"261240 SANHARO";221
"261245 SANTA CRUZ";180
"261247 SANTA CRUZ DA BAIXA VERDE";31
"261250 SANTA CRUZ DO CAPIBARIBE";708
"261255 SANTA FILOMENA";58
"261260 SANTA MARIA DA BOA VISTA";451
"261270 SANTA MARIA DO CAMBUCA";43
"261280 SANTA TEREZINHA";54
"261290 SAO BENEDITO DO SUL";3
"261300 SAO BENTO DO UNA";419
"261310 SAO CAITANO";525
"261320 SAO JOAO";349
"261330 SAO JOAQUIM DO MONTE";217
"261350 SAO JOSE DO BELMONTE";313
"261360 SAO JOSE DO EGITO";478
"261370 SAO LOURENCO DA MATA";1263
"261380 SAO VICENTE FERRER";70
"261390 SERRA TALHADA";9083
"261400 SERRITA";146
"261410 SERTANIA";567
"261420 SIRINHAEM";41
"261430 MOREILANDIA";98
"261440 SOLIDAO";34
"261450 SURUBIM";845
"261460 TABIRA";259
"261480 TACARATU";248
"261485 TAMANDARE";73
"261500 TAQUARITINGA DO NORTE";152
"261510 TEREZINHA";47
"261520 TERRA NOVA";74
"261530 TIMBAUBA";391
"261540 TORITAMA";504
"261560 TRINDADE";266
"261570 TRIUNFO";9
"261580 TUPANATINGA";172
"261590 TUPARETAMA";118
"261600 VENTUROSA";342
"261610 VERDEJANTE";24
"261620 VERTENTES";726
"261640 VITORIA DE SANTO ANTAO";8141
"270010 AGUA BRANCA";89
"270030 ARAPIRACA";17693
"270040 ATALAIA";144
"270070 BATALHA";722
"270100 BOCA DA MATA";38
"270130 CAJUEIRO";23
"270140 CAMPO ALEGRE";275
"270170 CAPELA";121
"270210 COLONIA LEOPOLDINA";9
"270230 CORURIPE";7390
"270235 CRAIBAS";33
"270240 DELMIRO GOUVEIA";3721
"270280 FLEXEIRAS";6
"270300 IBATEGUARA";20
"270380 JOAQUIM GOMES";44
"270400 JUNQUEIRO";152
"270430 MACEIO";44614
"270450 MARAGOGI";98
"270470 MARECHAL DEODORO";97
"270500 MATA GRANDE";104
"270510 MATRIZ DE CAMARAGIBE";6
"270630 PALMEIRA DOS INDIOS";3538
"270640 PAO DE ACUCAR";30
"270670 PENEDO";2877
"270680 PIACABUCU";16
"270690 PILAR";1509
"270710 PIRANHAS";206
"270730 PORTO CALVO";3692
"270760 QUEBRANGULO";28
"270770 RIO LARGO";209
"270800 SANTANA DO IPANEMA";5492
"270830 SAO JOSE DA LAJE";30
"270840 SAO JOSE DA TAPERA";208
"270850 SAO LUIS DO QUITUNDE";37
"270860 SAO MIGUEL DOS CAMPOS";3500
"270915 TEOTONIO VILELA";985
"270920 TRAIPU";27
"270930 UNIAO DOS PALMARES";2435
"270940 VICOSA";159
"280020 AQUIDABA";931
"280030 ARACAJU";41439
"280120 CANINDE DE SAO FRANCISCO";87
"280130 CAPELA";1850
"280210 ESTANCIA";6340
"280290 ITABAIANA";4771
"280340 JAPOATA";503
"280350 LAGARTO";6468
"280450 NOSSA SENHORA DA GLORIA";1505
"280480 NOSSA SENHORA DO SOCORRO";1652
"280570 PROPRIA";1599
"280590 RIACHUELO";359
"280670 SAO CRISTOVAO";1767
"280710 SIMAO DIAS";411
"290020 ABARE";211
"290035 ADUSTINA";134
"290040 AGUA FRIA";71
"290050 ERICO CARDOSO";77
"290070 ALAGOINHAS";4362
"290080 ALCOBACA";464
"290100 AMARGOSA";1780
"290110 AMELIA RODRIGUES";180
"290115 AMERICA DOURADA";372
"290120 ANAGE";102
"290130 ANDARAI";198
"290140 ANGICAL";170
"290150 ANGUERA";96
"290160 ANTAS";4712
"290200 ARACATU";692
"290205 ARACAS";41
"290210 ARACI";680
"290240 AURELINO LEAL";629
"290250 BAIANOPOLIS";207
"290260 BAIXA GRANDE";128
"290270 BARRA";2265
"290280 BARRA DA ESTIVA";1977
"290300 BARRA DO MENDES";393
"290320 BARREIRAS";11443
"290323 BARRO ALTO";295
"290327 BARROCAS";239
"290330 BARRO PRETO";21
"290340 BELMONTE";267
"290350 BELO CAMPO";485
"290360 BIRITINGA";12
"290380 BOA VISTA DO TUPIM";68
"290390 BOM JESUS DA LAPA";2679
"290395 BOM JESUS DA SERRA";154
"290400 BONINAL";96
"290405 BONITO";290
"290410 BOQUIRA";516
"290420 BOTUPORA";275
"290430 BREJOES";153
"290440 BREJOLANDIA";130
"290450 BROTAS DE MACAUBAS";91
"290460 BRUMADO";3744
"290475 BURITIRAMA";263
"290480 CAATIBA";80
"290490 CACHOEIRA";451
"290500 CACULE";724
"290510 CAEM";418
"290520 CAETITE";4500
"290530 CAFARNAUM";430
"290550 CALDEIRAO GRANDE";293
"290560 CAMACAN";2473
"290570 CAMACARI";6413
"290580 CAMAMU";284
"290590 CAMPO ALEGRE DE LOURDES";919
"290600 CAMPO FORMOSO";3199
"290610 CANAPOLIS";358
"290620 CANARANA";185
"290630 CANAVIEIRAS";148
"290640 CANDEAL";8
"290650 CANDEIAS";2080
"290660 CANDIBA";240
"290670 CANDIDO SALES";57
"290680 CANSANCAO";1777
"290682 CANUDOS";296
"290685 CAPELA DO ALTO ALEGRE";23
"290687 CAPIM GROSSO";1269
"290690 CARAVELAS";751
"290710 CARINHANHA";388
"290720 CASA NOVA";279
"290730 CASTRO ALVES";533
"290750 CATU";2298
"290755 CATURAMA";51
"290760 CENTRAL";314
"290770 CHORROCHO";65
"290780 CICERO DANTAS";410
"290790 CIPO";317
"290800 COARACI";119
"290810 COCOS";527
"290830 CONCEICAO DO ALMEIDA";238
"290840 CONCEICAO DO COITE";5165
"290850 CONCEICAO DO JACUIPE";182
"290860 CONDE";88
"290870 CONDEUBA";369
"290890 CORACAO DE MARIA";3002
"290900 CORDEIROS";159
"290910 CORIBE";1298
"290930 CORRENTINA";1456
"290950 CRAVOLANDIA";287
"290960 CRISOPOLIS";255
"290970 CRISTOPOLIS";1449
"290980 CRUZ DAS ALMAS";5080
"290990 CURACA";309
"291005 DIAS D'AVILA";847
"291010 DOM BASILIO";235
"291030 ELISIO MEDRADO";94
"291040 ENCRUZILHADA";431
"291050 ENTRE RIOS";247
"291060 ESPLANADA";1090
"291070 EUCLIDES DA CUNHA";2883
"291072 EUNAPOLIS";3482
"291080 FEIRA DE SANTANA";31231
"291085 FILADELFIA";474
"291110 FORMOSA DO RIO PRETO";905
"291120 GANDU";746
"291130 GENTIO DO OURO";146
"291150 GONGOGI";105
"291170 GUANAMBI";6510
"291180 GUARATINGA";153
"291190 IACU";260
"291200 IBIASSUCE";505
"291210 IBICARAI";188
"291230 IBICUI";39
"291240 IBIPEBA";128
"291250 IBIPITANGA";171
"291270 IBIRAPITANGA";509
"291280 IBIRAPUA";76
"291290 IBIRATAIA";718
"291300 IBITIARA";275
"291310 IBITITA";436
"291320 IBOTIRAMA";1976
"291340 IGAPORA";500
"291345 IGRAPIUNA";148
"291350 IGUAI";2208
"291360 ILHEUS";14517
"291370 INHAMBUPE";236
"291380 IPECAETA";29
"291390 IPIAU";528
"291400 IPIRA";717
"291410 IPUPIARA";121
"291420 IRAJUBA";283
"291430 IRAMAIA";671
"291440 IRAQUARA";2020
"291450 IRARA";351
"291460 IRECE";7515
"291465 ITABELA";1042
"291470 ITABERABA";7396
"291480 ITABUNA";12257
"291490 ITACARE";362
"291500 ITAETE";166
"291510 ITAGI";116
"291535 ITAGUACU DA BAHIA";210
"291540 ITAJU DO COLONIA";108
"291550 ITAJUIPE";1028
"291560 ITAMARAJU";2705
"291580 ITAMBE";821
"291600 ITANHEM";487
"291610 ITAPARICA";2613
"291630 ITAPEBI";139
"291640 ITAPETINGA";3782
"291650 ITAPICURU";156
"291660 ITAPITANGA";41
"291670 ITAQUARA";279
"291680 ITARANTIM";574
"291685 ITATIM";91
"291690 ITIRUCU";1082
"291700 ITIUBA";579
"291710 ITORORO";1326
"291720 ITUACU";183
"291730 ITUBERA";256
"291733 IUIU";136
"291735 JABORANDI";644
"291740 JACARACI";263
"291750 JACOBINA";2997
"291760 JAGUAQUARA";3098
"291770 JAGUARARI";445
"291800 JEQUIE";10257
"291810 JEREMOABO";408
"291820 JIQUIRICA";370
"291830 JITAUNA";156
"291835 JOAO DOURADO";347
"291840 JUAZEIRO";11964
"291850 JUSSARA";548
"291855 JUSSARI";12
"291860 JUSSIAPE";98
"291880 LAJE";181
"291905 LAJEDO DO TABOCAL";244
"291915 LAPAO";883
"291920 LAURO DE FREITAS";5925
"291930 LENCOIS";46
"291940 LICINIO DE ALMEIDA";228
"291950 LIVRAMENTO DE NOSSA SENHORA";1376
"291955 LUIS EDUARDO MAGALHAES";2356
"291960 MACAJUBA";124
"291970 MACARANI";732
"291980 MACAUBAS";1004
"291992 MADRE DE DEUS";352
"292000 MAIQUINIQUE";349
"292010 MAIRI";926
"292020 MALHADA";212
"292050 MARACAS";749
"292080 MARCIONILIO SOUZA";96
"292100 MATA DE SAO JOAO";1006
"292105 MATINA";108
"292110 MEDEIROS NETO";813
"292120 MIGUEL CALMON";2618
"292130 MILAGRES";115
"292150 MONTE SANTO";1620
"292170 MORRO DO CHAPEU";869
"292180 MORTUGABA";294
"292190 MUCUGE";175
"292200 MUCURI";947
"292205 MULUNGU DO MORRO";294
"292210 MUNDO NOVO";187
"292230 MURITIBA";269
"292240 MUTUIPE";831
"292250 NAZARE";4145
"292265 NORDESTINA";193
"292270 NOVA CANAA";981
"292273 NOVA FATIMA";74
"292290 NOVA SOURE";154
"292300 NOVA VICOSA";292
"292310 OLINDINA";249
"292320 OLIVEIRA DOS BREJINHOS";440
"292330 OURICANGAS";121
"292335 OUROLANDIA";230
"292340 PALMAS DE MONTE ALTO";439
"292360 PARAMIRIM";1490
"292370 PARATINGA";1211
"292380 PARIPIRANGA";133
"292390 PAU BRASIL";76
"292400 PAULO AFONSO";4422
"292405 PE DE SERRA";122
"292430 PIATA";141
"292450 PINDAI";324
"292460 PINDOBACU";1126
"292465 PINTADAS";111
"292470 PIRIPA";177
"292480 PIRITIBA";42
"292490 PLANALTINO";294
"292500 PLANALTO";384
"292510 POCOES";2743
"292520 POJUCA";1042
"292525 PONTO NOVO";391
"292530 PORTO SEGURO";5546
"292540 POTIRAGUA";40
"292550 PRADO";308
"292560 PRESIDENTE DUTRA";136
"292575 PRESIDENTE TANCREDO NEVES";179
"292580 QUEIMADAS";167
"292590 QUIJINGUE";331
"292595 RAFAEL JAMBEIRO";150
"292600 REMANSO";755
"292610 RETIROLANDIA";248
"292620 RIACHAO DAS NEVES";245
"292630 RIACHAO DO JACUIPE";948
"292640 RIACHO DE SANTANA";756
"292650 RIBEIRA DO AMPARO";105
"292660 RIBEIRA DO POMBAL";3780
"292670 RIO DE CONTAS";291
"292690 RIO DO PIRES";174
"292700 RIO REAL";634
"292720 RUY BARBOSA";4234
"292730 SALINAS DA MARGARIDA";135
"292740 SALVADOR";149970
"292750 SANTA BARBARA";140
"292770 SANTA CRUZ CABRALIA";264
"292790 SANTA INES";440
"292800 SANTALUZ";911
"292810 SANTA MARIA DA VITORIA";982
"292820 SANTANA";590
"292830 SANTANOPOLIS";29
"292840 SANTA RITA DE CASSIA";820
"292850 SANTA TERESINHA";122
"292860 SANTO AMARO";514
"292870 SANTO ANTONIO DE JESUS";11512
"292880 SANTO ESTEVAO";374
"292890 SAO DESIDERIO";814
"292895 SAO DOMINGOS";139
"292900 SAO FELIX";2805
"292905 SAO FELIX DO CORIBE";436
"292910 SAO FELIPE";212
"292925 SAO GABRIEL";237
"292930 SAO GONCALO DOS CAMPOS";113
"292940 SAO MIGUEL DAS MATAS";1072
"292950 SAO SEBASTIAO DO PASSE";583
"292960 SAPEACU";315
"292970 SATIRO DIAS";291
"292980 SAUDE";289
"292990 SEABRA";4957
"293000 SEBASTIAO LARANJEIRAS";123
"293010 SENHOR DO BONFIM";2161
"293015 SERRA DO RAMALHO";438
"293020 SENTO SE";320
"293030 SERRA DOURADA";651
"293040 SERRA PRETA";108
"293050 SERRINHA";1332
"293060 SERROLANDIA";148
"293070 SIMOES FILHO";1432
"293075 SITIO DO MATO";75
"293077 SOBRADINHO";210
"293080 SOUTO SOARES";212
"293090 TABOCAS DO BREJO VELHO";233
"293100 TANHACU";168
"293105 TANQUE NOVO";515
"293110 TANQUINHO";56
"293120 TAPEROA";470
"293130 TAPIRAMUTA";352
"293135 TEIXEIRA DE FREITAS";10083
"293150 TEOFILANDIA";95
"293160 TEOLANDIA";143
"293180 TREMEDAL";115
"293190 TUCANO";782
"293200 UAUA";398
"293210 UBAIRA";1062
"293220 UBAITABA";1639
"293240 UIBAI";174
"293250 UNA";343
"293260 URANDI";604
"293280 UTINGA";270
"293290 VALENCA";5444
"293300 VALENTE";601
"293305 VARZEA DA ROCA";103
"293310 VARZEA DO POCO";294
"293315 VARZEA NOVA";644
"293325 VEREDA";52
"293330 VITORIA DA CONQUISTA";22849
"293340 WAGNER";803
"293345 WANDERLEY";973
"293350 WENCESLAU GUIMARAES";104
"293360 XIQUE-XIQUE";1491
"310020 ABAETE";826
"310030 ABRE CAMPO";1160
"310060 AGUA BOA";109
"310090 AGUAS FORMOSAS";1703
"310100 AGUAS VERMELHAS";328
"310110 AIMORES";1351
"310120 AIURUOCA";789
"310130 ALAGOA";64
"310150 ALEM PARAIBA";1377
"310160 ALFENAS";10519
"310170 ALMENARA";3248
"310190 ALPINOPOLIS";679
"310200 ALTEROSA";477
"310210 ALTO RIO DOCE";208
"310230 ALVINOPOLIS";284
"310260 ANDRADAS";2309
"310270 CACHOEIRA DE PAJEU";197
"310280 ANDRELANDIA";418
"310290 ANTONIO CARLOS";79
"310340 ARACUAI";2694
"310350 ARAGUARI";8411
"310375 ARAPORA";474
"310400 ARAXA";3422
"310410 ARCEBURGO";16
"310420 ARCOS";892
"310430 AREADO";335
"310450 ARINOS";368
"310470 ATALEIA";373
"310490 BAEPENDI";2328
"310510 BAMBUI";915
"310540 BARAO DE COCAIS";602
"310560 BARBACENA";9885
"310590 BARROSO";1184
"310620 BELO HORIZONTE";168352
"310630 BELO ORIENTE";1754
"310640 BELO VALE";357
"310650 BERILO";166
"310670 BETIM";13699
"310690 BICAS";415
"310710 BOA ESPERANCA";966
"310730 BOCAIUVA";2596
"310740 BOM DESPACHO";3468
"310750 BOM JARDIM DE MINAS";238
"310780 BOM JESUS DO GALHO";808
"310800 BOM SUCESSO";441
"310840 BOTELHOS";240
"310860 BRASILIA DE MINAS";4089
"310890 BRAZOPOLIS";180
"310900 BRUMADINHO";1996
"310910 BUENO BRANDAO";288
"310930 BURITIS";735
"310940 BURITIZEIRO";110
"310950 CABO VERDE";513
"310990 CAETANOPOLIS";550
"311000 CAETE";1361
"311030 CALDAS";235
"311050 CAMANDUCAIA";784
"311060 CAMBUI";1389
"311070 CAMBUQUIRA";445
"311090 CAMPANHA";124
"311100 CAMPESTRE";726
"311110 CAMPINA VERDE";389
"311120 CAMPO BELO";4177
"311130 CAMPO DO MEIO";173
"311150 CAMPOS ALTOS";415
"311160 CAMPOS GERAIS";911
"311180 CANAPOLIS";373
"311200 CANDEIAS";358
"311230 CAPELINHA";2416
"311260 CAPINOPOLIS";401
"311280 CAPITOLIO";248
"311300 CARAI";396
"311320 CARANDAI";656
"311330 CARANGOLA";4461
"311340 CARATINGA";7316
"311350 CARBONITA";317
"311370 CARLOS CHAGAS";774
"311400 CARMO DA MATA";70
"311410 CARMO DE MINAS";301
"311430 CARMO DO PARANAIBA";698
"311440 CARMO DO RIO CLARO";736
"311450 CARMOPOLIS DE MINAS";522
"311460 CARRANCAS";32
"311510 CASSIA";2389
"311530 CATAGUASES";2991
"311550 CAXAMBU";863
"311570 CENTRAL DE MINAS";69
"311580 CENTRALINA";247
"311615 CHAPADA GAUCHA";186
"311630 CIPOTANEA";68
"311660 CLAUDIO";1735
"311680 COLUNA";340
"311710 CONCEICAO DA APARECIDA";333
"311730 CONCEICAO DAS ALAGOAS";1110
"311750 CONCEICAO DO MATO DENTRO";912
"311770 CONCEICAO DO RIO VERDE";388
"311800 CONGONHAS";1992
"311820 CONQUISTA";77
"311830 CONSELHEIRO LAFAIETE";4265
"311840 CONSELHEIRO PENA";1230
"311860 CONTAGEM";13510
"311880 CORACAO DE JESUS";1470
"311930 COROMANDEL";988
"311940 CORONEL FABRICIANO";2805
"312020 CRISTAIS";244
"312050 CRISTINA";365
"312080 CRUZILIA";1237
"312090 CURVELO";5494
"312120 DELFINOPOLIS";94
"312160 DIAMANTINA";5983
"312200 DIVINO";684
"312210 DIVINO DAS LARANJEIRAS";79
"312230 DIVINOPOLIS";10290
"312260 DOM JOAQUIM";111
"312270 DOM SILVERIO";112
"312320 DORES DO INDAIA";743
"312360 ELOI MENDES";1259
"312390 ENTRE RIOS DE MINAS";720
"312400 ERVALIA";429
"312410 ESMERALDAS";1692
"312420 ESPERA FELIZ";663
"312430 ESPINOSA";762
"312450 ESTIVA";115
"312470 ESTRELA DO INDAIA";84
"312490 EUGENOPOLIS";401
"312510 EXTREMA";1185
"312560 FELISBURGO";553
"312590 FERROS";232
"312595 FERVEDOURO";86
"312610 FORMIGA";3256
"312670 FRANCISCO SA";1170
"312710 FRUTAL";1565
"312760 GOUVEIA";692
"312770 GOVERNADOR VALADARES";14971
"312780 GRAO MOGOL";860
"312800 GUANHAES";3386
"312810 GUAPE";240
"312830 GUARANESIA";418
"312860 GUARDA-MOR";201
"312870 GUAXUPE";2515
"312910 GURINHATA";59
"312940 IBERTIOGA";113
"312950 IBIA";617
"312980 IBIRITE";3247
"313010 IGARAPE";2454
"313030 IGUATAMA";320
"313050 ILICINEA";574
"313090 INHAPIM";705
"313120 IPANEMA";1216
"313130 IPATINGA";15578
"313170 ITABIRA";7190
"313180 ITABIRINHA";829
"313190 ITABIRITO";1338
"313210 ITACARAMBI";301
"313220 ITAGUARA";811
"313230 ITAIPE";214
"313240 ITAJUBA";7415
"313250 ITAMARANDIBA";2043
"313270 ITAMBACURI";2708
"313290 ITAMOGI";13
"313300 ITAMONTE";476
"313310 ITANHANDU";1929
"313320 ITANHOMI";859
"313330 ITAOBIM";1944
"313350 ITAPECERICA";559
"313375 ITAU DE MINAS";101
"313380 ITAUNA";3728
"313420 ITUIUTABA";3313
"313440 ITURAMA";839
"313460 JABOTICATUBAS";193
"313470 JACINTO";919
"313490 JACUTINGA";712
"313505 JAIBA";553
"313510 JANAUBA";6799
"313520 JANUARIA";2802
"313540 JECEABA";74
"313580 JEQUITINHONHA";788
"313600 JOAIMA";243
"313620 JOAO MONLEVADE";3901
"313630 JOAO PINHEIRO";1510
"313650 JORDANIA";160
"313670 JUIZ DE FORA";32008
"313690 JURUAIA";275
"313700 LADAINHA";352
"313710 LAGAMAR";91
"313720 LAGOA DA PRATA";3182
"313750 LAGOA FORMOSA";361
"313760 LAGOA SANTA";2318
"313770 LAJINHA";256
"313780 LAMBARI";245
"313820 LAVRAS";4800
"313840 LEOPOLDINA";1796
"313860 LIMA DUARTE";591
"313880 LUZ";1830
"313890 MACHACALIS";574
"313900 MACHADO";2234
"313920 MALACACHETA";2029
"313930 MANGA";2236
"313940 MANHUACU";6931
"313950 MANHUMIRIM";1831
"313960 MANTENA";1526
"313980 MAR DE ESPANHA";322
"313990 MARIA DA FE";156
"314000 MARIANA";1506
"314050 MARTINHO CAMPOS";154
"314070 MATEUS LEME";500
"314090 MATIPO";705
"314110 MATOZINHOS";601
"314120 MATUTINA";29
"314140 MEDINA";1406
"314150 MENDES PIMENTEL";287
"314160 MERCES";299
"314180 MINAS NOVAS";1956
"314200 MIRABELA";794
"314220 MIRAI";353
"314240 MOEMA";206
"314260 MONSENHOR PAULO";319
"314270 MONTALVANIA";846
"314280 MONTE ALEGRE DE MINAS";510
"314290 MONTE AZUL";1248
"314300 MONTE BELO";261
"314310 MONTE CARMELO";3286
"314320 MONTE SANTO DE MINAS";971
"314330 MONTES CLAROS";31960
"314350 MORADA NOVA DE MINAS";269
"314390 MURIAE";12189
"314400 MUTUM";820
"314410 MUZAMBINHO";779
"314430 NANUQUE";1751
"314450 NAZARENO";94
"314460 NEPOMUCENO";769
"314470 NOVA ERA";332
"314480 NOVA LIMA";4182
"314500 NOVA PONTE";283
"314510 NOVA RESENDE";164
"314520 NOVA SERRANA";3190
"314530 NOVO CRUZEIRO";838
"314560 OLIVEIRA";3078
"314590 OURO BRANCO";935
"314600 OURO FINO";2143
"314610 OURO PRETO";3345
"314630 PADRE PARAISO";863
"314650 PAINS";131
"314670 PALMA";160
"314700 PARACATU";4657
"314710 PARA DE MINAS";4568
"314720 PARAGUACU";567
"314730 PARAISOPOLIS";544
"314750 PASSABEM";24
"314760 PASSA QUATRO";609
"314770 PASSA TEMPO";264
"314790 PASSOS";10613
"314800 PATOS DE MINAS";10047
"314810 PATROCINIO";3972
"314860 PECANHA";1673
"314870 PEDRA AZUL";1573
"314910 PEDRALVA";94
"314930 PEDRO LEOPOLDO";1303
"314980 PERDIZES";573
"314990 PERDOES";524
"315030 PIEDADE DO RIO GRANDE";105
"315050 PIMENTA";145
"315080 PIRANGA";11
"315110 PIRAPETINGA";374
"315120 PIRAPORA";4386
"315140 PITANGUI";811
"315150 PIUMHI";2939
"315170 POCO FUNDO";1743
"315180 POCOS DE CALDAS";8284
"315200 POMPEU";741
"315210 PONTE NOVA";8013
"315220 PORTEIRINHA";1683
"315240 POTE";237
"315250 POUSO ALEGRE";11136
"315260 POUSO ALTO";173
"315270 PRADOS";188
"315280 PRATA";749
"315290 PRATAPOLIS";16
"315310 PRESIDENTE BERNARDES";39
"315340 PRESIDENTE OLEGARIO";386
"315400 RAUL SOARES";837
"315410 RECREIO";415
"315420 RESENDE COSTA";621
"315430 RESPLENDOR";2283
"315460 RIBEIRAO DAS NEVES";3407
"315470 RIBEIRAO VERMELHO";114
"315490 RIO CASCA";293
"315520 RIO ESPERA";31
"315550 RIO PARANAIBA";159
"315560 RIO PARDO DE MINAS";675
"315570 RIO PIRACICABA";208
"315580 RIO POMBA";1301
"315590 RIO PRETO";123
"315600 RIO VERMELHO";247
"315660 RUBIM";221
"315670 SABARA";804
"315680 SABINOPOLIS";926
"315690 SACRAMENTO";934
"315700 SALINAS";3546
"315710 SALTO DA DIVISA";152
"315720 SANTA BARBARA";885
"315770 SANTA JULIANA";131
"315780 SANTA LUZIA";3668
"315790 SANTA MARGARIDA";544
"315800 SANTA MARIA DE ITABIRA";46
"315820 SANTA MARIA DO SUACUI";1412
"315930 SANTA RITA DE JACUTINGA";131
"315960 SANTA RITA DO SAPUCAI";2516
"315980 SANTA VITORIA";533
"315990 SANTO ANTONIO DO AMPARO";2245
"316040 SANTO ANTONIO DO MONTE";2777
"316070 SANTOS DUMONT";1518
"316100 SAO DOMINGOS DO PRATA";427
"316110 SAO FRANCISCO";2796
"316200 SAO GONCALO DO SAPUCAI";1020
"316210 SAO GOTARDO";1246
"316220 SAO JOAO BATISTA DO GLORIA";127
"316240 SAO JOAO DA PONTE";1151
"316250 SAO JOAO DEL REI";5292
"316257 SAO JOAO DO MANTENINHA";66
"316270 SAO JOAO DO PARAISO";994
"316280 SAO JOAO EVANGELISTA";1262
"316290 SAO JOAO NEPOMUCENO";815
"316370 SAO LOURENCO";5070
"316390 SAO PEDRO DA UNIAO";62
"316420 SAO ROMAO";234
"316430 SAO ROQUE DE MINAS";26
"316470 SAO SEBASTIAO DO PARAISO";5557
"316500 SAO TIAGO";308
"316530 SAO VICENTE DE MINAS";207
"316570 SENADOR FIRMINO";55
"316680 SERRA DO SALITRE";688
"316690 SERRANIA";70
"316710 SERRO";2121
"316720 SETE LAGOAS";12971
"316800 TAIOBEIRAS";6017
"316840 TARUMIRIM";1853
"316860 TEOFILO OTONI";14475
